codigo,descricao
00101,CABECA
00102,CABECAS
00201,CAIXA
00202,CAIXINHA
00203,CAIXOTE
00204,CAIXAS
00205,CAIXINHAS
00206,CX
00207,CAIXOTES
00301,CENTO
00302,CENTOS
00401,COPO
00402,COPOS
00403,COPINHO
00404,COPINHOS
00501,DOSE
00502,DOSES
00601,DENTE
00602,DENTES
00701,DUZIA
00702,DZ
00703,DUZIAS
00801,FATIA
00802,FATIAS
00901,GARRAFA
00902,GARRAFINHA
00903,GARRAFA DE VIDRO
00904,GARRAFA PET
00905,GARRAFA PLASTICA
00906,GARRAFAS
00907,PET
00908,GARRAFINHAS
00909,GARRAFAS DE VIDRO
00910,GARRAFAS PET
00911,GARRAFAS PLASTICAS
01001,LATA
01002,LATINHA
01003,LATAO
01004,LATAS
01005,LATINHAS
01006,LEITEIRA
01007,PANELA
01008,VASILHA
01009,VASILHAME
01010,VASILHAS
01011,RECIPIENTE
01012,LATOES
01013,LEITEIRAS
01014,PANELAS
01015,VASILHAMES
01016,RECIPIENTES
01101,MACO
01102,MACOS
01103,MASSO
01104,MACINHO
01105,MASSOS
01106,MACINHOS
01107,MASSINHO
01108,MASSINHOS
01201,MOLHO
01202,MOLHOS
01203,MOLHINHO
01204,AMARRADO
01205,MOLHINHOS
01206,AMARRADOS
01301,PACOTE
01302,PACOTINHO
01303,PCT
01304,PAC
01305,PACOTES
01306,PACOTINHOS
01307,PACT.
01308,PACTE
01309,PC
01310,PCOTE
01311,PCTE
01312,PCTES
01313,BOTE
01314,PCOTES
01401,PEDACO
01402,BANDA
01403,METADE
01404,PEDACOS
01405,POSTA
01406,POSTAS
01407,TALHADA
01408,PERNA
01409,BANDAS
01410,METADES
01411,TALHADAS
01412,PERNAS
01501,PENCA
01502,PENCAS
01601,PORCAO
01602,PORCOES
01603,LOTE
01604,LOTES
01605,PUNHADO
01606,PUNHADOS
01701,PE
01702,PES
01801,TABLETE
01802,TABLETES
01901,UNIDADE
01902,UNIDADE INTEIRA
01903,UNIDADES
01904,UNIDADES INTEIRAS
02001,BARRA
02002,BARRINHA
02003,BARRAS
02004,BARRINHAS
02101,FRASCO
02102,FRASQUINHO
02103,VIDRO
02104,VIDRINHO
02105,VD
02106,FRASCOS
02107,SPRAY (FRASCO)
02108,VIDRINHOS
02109,VIDROS
02110,AEROSOL (FRASCO)
02111,FRASQUINHOS
02201,POTE
02202,POTINHO
02203,POTES
02204,POTINHOS
02301,BISNAGA
02302,BISNAGUINHA
02303,BISNAGAS
02304,BISNAGUINHAS
02401,GARRAFAO
02402,GARRAFOES
