codigo,descricao
02501,MAO
02502,MAOS
02601,CACHO
02602,CACHOS
02701,FEIXE
02702,FEIXES
02801,BARRIL
02802,BARRIS
02901,RESTIA
02902,TRANCA
02903,RESTIAS
02904,TRANCAS
03001,PRATO
03002,PRATINHO
03003,PRATOS
03004,PRATINHOS
03101,SACO
03102,SAQUINHO
03103,SACA
03104,SACOS
03105,SAQUINHOS
03106,SACAS
03201,FARDO
03202,FARDOS
03301,ENVELOPE
03302,SACHE
03303,ENVELOPES
03304,SACHES
03401,BACIA
03402,BACIAS
03501,TUBO
03502,TUBINHO
03503,TUBOS
03504,TUBINHOS
03601,ROLO
03602,ROLOS
03603,BOBINA
03604,BOBINAS
03701,BANDEJA
03702,BANDEJAS
03801,BALDE
03802,BALDINHO
03803,BALDES
03804,BALDINHOS
03901,CARTELA
03902,CARTELAS
04001,METRO
04002,METROS
04101,COLHER
04102,COLHERES
04103,COLHER DE SOPA
04104,COLHERES DE SOPA
04201,BALAIO
04202,BALAIOS
04301,EMBALAGEM PLASTICA
04302,EMBALAGEM
04303,EMBALAGENS
04304,QUENTINHA
04305,ALMOFADA
04306,EMBALAGENS PLASTICAS
04307,QUENTINHAS
04308,ALMOFADAS
04401,ARROBA
04402,ARROBAS
04501,GRAMA
04502,G
04503,GR
04504,GRAMAS
04601,MILILITRO
04602,ML
04603,MILILITROS
04701,LITRO
04702,LT
04703,L
04704,LITROS
04801,QUILOGRAMA
04802,QUILO
04803,KG
04804,K
04805,KILO
04806,KILOS
04807,KILOGRAMA
04808,KILOGRAMAS
04809,QUILOGRAMAS
04810,QUILOS
04901,METRO CUBICO
04902,ESTEREO
05001,AMPOLA
05002,AMPOLAS
05003,INJECAO
05004,INJECOES
05101,CAMBADA
05102,CAMBO
05103,CAMBADAS
05104,CAMBOS
05201,CANECA
05202,CANECAS
05203,CANECO
05204,CANECOS
05301,CAPSULA
05302,CAPSULAS
05401,CESTA
05402,CESTAS
05501,COMPRIMIDO
05502,COMPRIMIDOS
05503,COMP
05504,COMP.
05505,COMPR
05506,COMPR.
05507,DRAGEA
05508,DRAGEAS
05509,PILULA
05510,PILULAS
05601,CONJUNTO
05602,CONJUNTOS
05701,CORDA
05702,CORDAS
05801,CUBA
05802,CUBAS
05901,DEZENA
05902,DEZENAS
06001,ESPIGA
06002,ESPIGAS
06101,FOLHA
06102,FOLHAS
06201,GALAO
06202,GALOES
06301,JARRA
06302,JARRAS
06401,MARMITA
06402,MARMITEX
06403,VIANDA
06404,MARMITAS
06405,VIANDAS
06501,PALHA
06502,PALHAS
06601,PALMA
06602,PALMAS
06701,PAR
06702,PARES
06801,PARELHA
06802,PARELHAS
06901,PECA
06902,PECAS
07001,PEDRA
07002,PEDRAS
07101,PENTE
07102,PLACA
07103,PLACAS
07104,PENTES
07201,QUARTA
07202,QUARTAS
07301,RAIZ
07302,RAIZES
07401,RASA
07402,RASAS
07501,REDE
07502,REDES
07503,REDINHA
07504,REDINHAS
07601,SACOLA
07602,SACOLAS
07603,SACOLINHA
07604,BOLSA
07605,BOLSINHA
07606,SACOLINHAS
07607,BOLSAS
07608,BOLSINHAS
07701,XICARA
07702,XICARAS
07801,ADESIVO
07802,ADESIVOS
07901,BOMBA
07902,BOMBINHA
07903,BOMBAS
07904,BOMBINHAS
08001,BUQUE
08002,BOUQUET
08003,ARRANJO
08004,BUQUES
08005,ARRANJOS
08101,BUCHA
08102,BUCHAS
08103,ESPONJA
08104,ESPONJAS
08201,ESPETO
08202,ESPETOS
08203,ESPETINHO
08204,ESPETINHOS
08301,MILIGRAMA
08302,MILIGRAMAS
08303,MG
08401,CUIA
08402,CUIAS
08501,BOLA
08502,BOLAS
08601,FORMA
08602,FORMAS
08701,VARA
08702,VARAS
08901,VASO
08902,VASOS
08903,VASINHO
08904,VASINHOS
09001,BASTAO
09002,BASTOES
09101,BOMBONA
09102,BOMBONAS
09201,BOTIJAO
09202,BUTIJAO
09203,BOTIJOES
09204,BUTIJOES
09205,BUJAO
09206,BUJOES
09301,CESTA BASICA
09302,CESTAS BASICAS
