codigo,descricao
14702,750ML
14801,720 ML
14802,720ML
14901,700 ML
14902,700ML
15001,660 ML
15002,660ML
15101,630 ML
15102,630ML
15201,600 ML
15202,600ML
15301,500 ML
15302,500ML
15401,473 ML
15402,473ML
15501,400 ML
15502,400ML
15601,355 ML
15602,355ML
15701,350 ML
15702,350ML
15801,340 ML
15802,340ML
15901,335 ML
15902,335ML
16001,330 ML
16002,330ML
16101,300 ML
16102,300ML
16201,290 ML
16202,290ML
16301,250 ML
16302,250ML
16401,200 ML
16402,200ML
16501,150 ML
16502,150ML
16601,125 ML
16602,125ML
16701,120 ML
16702,120ML
16801,100 ML
16802,100ML
16901,90 ML
16902,90ML
17001,EMBALAGEM COM 1 UNIDADE
17002,1 UNIDADE
17003,1 COMPRIMIDO
17004,1 CAPSULA
17005,1 DRAGEA
17101,EMBALAGEM COM 2 UNIDADES
17102,2 UNIDADES
17103,2 COMPRIMIDOS
17104,2 CAPSULAS
17105,2 DRAGEAS
17201,EMBALAGEM COM 3 UNIDADES
17202,3 UNIDADES
17203,3 COMPRIMIDOS
17204,3 CAPSULAS
17205,3 DRAGEAS
17301,EMBALAGEM COM 4 UNIDADES
17302,4 UNIDADES
17303,4 COMPRIMIDOS
17304,4 CAPSULAS
17305,4 DRAGEAS
17401,EMBALAGEM COM 5 UNIDADES
17402,5 UNIDADES
17403,5 COMPRIMIDOS
17404,5 CAPSULAS
17405,5 DRAGEAS
17501,EMBALAGEM COM 6 UNIDADES
17502,6 UNIDADES
17503,6 COMPRIMIDOS
17504,6 CAPSULAS
17505,6 DRAGEAS
17601,EMBALAGEM COM 8 UNIDADES
17602,8 UNIDADES
17603,8 COMPRIMIDOS
17604,8 CAPSULAS
17605,8 DRAGEAS
17701,EMBALAGEM COM 10 UNIDADES
17702,10 UNIDADES
17703,10 COMPRIMIDOS
17704,10 CAPSULAS
17705,10 DRAGEAS
17801,EMBALAGEM COM 12 UNIDADES
17802,12 UNIDADES
17803,12 COMPRIMIDOS
17804,12 CAPSULAS
17805,12 DRAGEAS
17901,EMBALAGEM COM 20 UNIDADES
17902,20 UNIDADES
17903,20 COMPRIMIDOS
17904,20 CAPSULAS
17905,20 DRAGEAS
18001,EMBALAGEM COM 24 UNIDADES
18002,24 UNIDADES
18003,24 COMPRIMIDOS
18004,24 CAPSULAS
18005,24 DRAGEAS
18101,EMBALAGEM COM 30 UNIDADES
18102,30 UNIDADES
18103,30 COMPRIMIDOS
18104,30 CAPSULAS
18105,30 DRAGEAS
18201,EMBALAGEM COM 40 UNIDADES
18202,40 UNIDADES
18203,40 COMPRIMIDOS
18204,40 CAPSULAS
18205,40 DRAGEAS
18301,EMBALAGEM COM 50 UNIDADES
18302,50 UNIDADES
18303,50 COMPRIMIDOS
18304,50 CAPSULAS
18305,50 DRAGEAS
18401,495 ML
18402,495ML
18501,EMBALAGEM COM 100 UNIDADES
18502,100 UNIDADES
18503,100 COMPRIMIDOS
18504,100 CAPSULAS
18505,100 DRAGEAS
18601,1 G
18602,1G
18701,1 ML
18702,1ML
18801,80 ML
18802,80ML
18901,75 ML
18902,75ML
19001,70 ML
19002,70ML
19101,65 ML
19102,65ML
19201,60 ML
19202,60ML
19301,55 ML
19302,55ML
19401,50 ML
19402,50ML
19501,49 ML
19502,49ML
19601,45 ML
19602,45ML
19701,40 ML
19702,40ML
19801,35 ML
19802,35ML
19901,30 ML
19902,30ML
20001,25 ML
20002,25ML
20101,20 ML
20102,20ML
20201,15 ML
20202,15ML
20301,10 ML
20302,10ML
20401,5 ML
20402,5ML
20501,3 ML
20502,3ML
20601,2 ML
20602,2ML
20701,4 ML
20702,4ML
20801,5000 ML
20802,5 L
20803,5000ML
20804,5L
20805,5 LT
20901,12 ML
20902,12ML
21001,130 ML
21002,130ML
21101,EMBALAGEM COM 14 UNIDADES
21102,14 UNIDADES
21103,14 COMPRIMIDOS
21104,14 CAPSULAS
21105,14 DRAGEAS
21201,EMBALAGEM COM 15 UNIDADES
21202,15 UNIDADES
21203,15 COMPRIMIDOS
21204,15 CAPSULAS
21205,15 DRAGEAS
21301,EMBALAGEM COM 25 UNIDADES
21302,25 UNIDADES
21303,25 COMPRIMIDOS
21304,25 CAPSULAS
21305,25 DRAGEAS
21401,EMBALAGEM COM 35 UNIDADES
21402,35 UNIDADES
21403,35 COMPRIMIDOS
21404,35 CAPSULAS
21405,35 DRAGEAS
21501,5 G
21502,5G
21503,5 GR
21601,EMBALAGEM COM 120 UNIDADES
21602,120 UNIDADES
21603,120 COMPRIMIDOS
21604,120 CAPSULAS
21605,120 DRAGEAS
21701,EMBALAGEM COM 16 UNIDADES
21702,16 UNIDADES
21703,16 COMPRIMIDOS
21704,16 CAPSULAS
21705,16 DRAGEAS
21801,165 G
21802,165G
21803,165GR
21901,175 G
21902,175G
22001,175 ML
22002,175ML
22101,19 G
22102,19G
22201,EMBALAGEM COM 21 UNIDADES
22202,21 UNIDADES
22203,21 COMPRIMIDOS
22204,21 CAPSULAS
22205,21 DRAGEAS
22301,21 G
22302,21G
22401,220 ML
22402,220ML
22501,230 ML
22502,230ML
22601,EMBALAGEM COM 28 UNIDADES
22602,28 UNIDADES
22603,28 COMPRIMIDOS
22604,28 CAPSULAS
22605,28 DRAGEAS
22701,EMBALAGEM COM 60 UNIDADES
22702,60 UNIDADES
22703,60 COMPRIMIDOS
22704,60 CAPSULAS
22705,60 DRAGEAS
22801,EMBALAGEM COM 200 UNIDADES
22802,200 UNIDADES
22803,200 COMPRIMIDOS
22804,200 CAPSULAS
22805,200 DRAGEAS
22901,105 ML
22902,105ML
23001,170 ML
23002,170ML
23101,180 ML
23102,180ML
23201,190 ML
23202,190ML
23301,140 ML
23302,140ML
23401,160 ML
23402,160ML
23501,EMBALAGEM COM 18 UNIDADES
23502,18 UNIDADES
23503,18 COMPRIMIDOS
23504,18 CAPSULAS
23505,18 DRAGEAS
23601,110 ML
23602,110ML
23701,EMBALAGEM COM 150 UNIDADES
23702,150 UNIDADES
23703,150 COMPRIMIDOS
23704,150 CAPSULAS
23705,150 DRAGEAS
23801,16 G
23802,16G
23901,16 ML
23902,16ML
24001,EMBALAGEM COM 180 UNIDADES
24002,180 UNIDADES
24003,180 COMPRIMIDOS
24004,180 CAPSULAS
24005,180 DRAGEAS
24101,EMBALAGEM COM 90 UNIDADES
24102,90 UNIDADES
24103,90 COMPRIMIDOS
24104,90 CAPSULAS
24105,90 DRAGEAS
24201,EMBALAGEM COM 45 UNIDADES
24202,45 UNIDADES
24203,45 COMPRIMIDOS
24204,45 CAPSULAS
24205,45 DRAGEAS
24301,EMBALAGEM COM 7 UNIDADES
24302,7 UNIDADES
24303,7 COMPRIMIDOS
24304,7 CAPSULAS
24305,7 DRAGEAS
24401,EMBALAGEM COM 70 UNIDADES
24402,70 UNIDADES
24403,70 COMPRIMIDOS
24404,70 CAPSULAS
24405,70 DRAGEAS
24501,EMBALAGEM COM 80 UNIDADES
24502,80 UNIDADES
24503,80 COMPRIMIDOS
24504,80 CAPSULAS
24505,80 DRAGEAS
24601,EMBALAGEM COM 13 UNIDADES
24602,13 UNIDADES
24603,13 COMPRIMIDOS
24604,13 CAPSULAS
24605,13 DRAGEAS
24701,18 ML
24702,18ML
24801,2 G
24802,2G
24901,"2,5 ML"
24902,"2,5ML"
25001,EMBALAGEM COM 42 UNIDADES
25002,42 UNIDADES
25003,42 COMPRIMIDOS
25004,42 CAPSULAS
25005,42 DRAGEAS
26001,EMBALAGEM COM 22 UNIDADES
26002,22 UNIDADES
26003,22 COMPRIMIDOS
26004,22 CAPSULAS
26005,22 DRAGEAS
26101,210 ML
26102,210ML
26201,22 ML
26202,22ML
26301,24 ML
26302,24ML
26401,240 ML
26402,240ML
26501,EMBALAGEM COM 250 UNIDADES
26502,250 UNIDADES
26503,250 COMPRIMIDOS
26504,250 CAPSULAS
26505,250 DRAGEAS
26601,EMBALAGEM COM 32 UNIDADES
26602,32 UNIDADES
26603,32 COMPRIMIDOS
26604,32 CAPSULAS
26605,32 DRAGEAS
26701,260 ML
26702,260ML
26801,EMBALAGEM COM 36 UNIDADES
26802,36 UNIDADES
26803,36 COMPRIMIDOS
26804,36 CAPSULAS
26805,36 DRAGEAS
26901,280 ML
26902,280ML
27001,"3,5 G"
27002,"3,5G"
27101,390 ML
27102,390ML
27201,EMBALAGEM COM 48 UNIDADES
27202,48 UNIDADES
27203,48 COMPRIMIDOS
27204,48 CAPSULAS
27205,48 DRAGEAS
27301,480 ML
27302,480ML
27401,360 ML
27402,360ML
27501,375 ML
27502,375ML
27601,380 ML
27602,380ML
