codigo,descricao
1,Sem instrução
2,Ensino Fundamental Incompleto
3,Ensino Fundamental Completo
4,Ensino Médio Incompleto
5,Ensino Médio Completo
6,Ensino Superior Incompleto
7,Ensino Superior Completo
