codigo,descricao
01,Creche
02,Pré-escola
03,Alfabetização de jovens e adultos
04,Regular do ensino fundamental 
05,Educação de jovens e adultos – EJA do ensino fundamental
06,Regular do ensino médio 
07,Educação de jovens e adultos – EJA do ensino médio
08,Superior – graduação
09,Especialização de nível superior (duração mínima de 360 horas)
10,Mestrado
11,Doutorado
