codigo,descricao
1,Coletado diretamente por serviço de limpeza
2,Coletado em caçamba de serviço de limpeza
3,Queimado (na propriedade)
4,Enterrado (na propriedade)
5,Jogado em terreno baldio ou logradouro
6,Outro destino
