codigo,descricao
1,Alvenaria com revestimento / Taipa com revestimento
2,Alvenaria sem revestimento
3,Taipa sem revestimento
4,Madeira apropriada para construção (aparelhada) 
5,Madeira aproveitada
6,Outro material
