codigo,descricao
1,Em casa ou levando de casa
2,Merenda escolar
3,Restaurante à quilo
4,"Cantina, bar, lanchonete, fast food"
5,Restaurante - outros
6,Vendedores ambulantes ou de rua
7,Fora de casa - outros
9,Não determinado
