codigo,descricao
1,Assado(a)
2,Cozido(a) com gordura
3,Cozido(a) sem gordura
4,Cru(a)
5,Empanado(a) / à milanesa
6,Ensopado(a)
7,Frito(a)
8,Grelhado(a)/brasa/churrasco
9,Refogado
99,Não determinado
